epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.096,1.27888,4.1927,1.1838,0.15718,0.1996,0.08516,0.05343,1.22739,2.6828,1.08132,0.000103934,0.000103934,0.000103934
2,245.468,1.18244,3.24562,1.14846,0.23853,0.32186,0.21689,0.14746,1.13086,2.25545,1.04117,0.000204143,0.000204143,0.000204143
3,365.509,1.16921,2.8097,1.13979,0.31555,0.44902,0.31672,0.21913,1.10383,1.93083,1.03927,0.000300221,0.000300221,0.000300221
4,488.649,1.14189,2.46663,1.12334,0.39259,0.48158,0.39207,0.26156,1.14382,1.7879,1.04981,0.000294408,0.000294408,0.000294408
5,612.958,1.12192,2.21326,1.11056,0.38903,0.51798,0.44574,0.31728,1.04701,1.60616,1.0178,0.00028821,0.00028821,0.00028821
6,736.099,1.10275,2.01889,1.09205,0.49472,0.58649,0.51552,0.3778,0.96713,1.47662,0.98131,0.000282013,0.000282013,0.000282013
7,859.91,1.08606,1.84516,1.08055,0.51777,0.58668,0.58677,0.43778,0.92947,1.34586,0.96706,0.000275816,0.000275816,0.000275816
8,983.995,1.07147,1.75711,1.07422,0.61824,0.60853,0.62077,0.46755,0.91382,1.27828,0.96582,0.000269618,0.000269618,0.000269618
9,1105.74,1.05268,1.62067,1.06691,0.61841,0.63253,0.66009,0.49657,0.9246,1.18806,0.95949,0.000263421,0.000263421,0.000263421
10,1225.72,1.03238,1.55424,1.05373,0.62159,0.60748,0.64199,0.47787,0.93587,1.28145,0.96462,0.000257223,0.000257223,0.000257223
11,1345.03,1.01674,1.47034,1.0489,0.66934,0.6714,0.70085,0.51766,0.96795,1.10673,0.96395,0.000251026,0.000251026,0.000251026
12,1464.08,1.019,1.42451,1.04001,0.68471,0.69912,0.71425,0.53672,0.89643,1.05989,0.94791,0.000244829,0.000244829,0.000244829
13,1582.48,1.00027,1.3314,1.03605,0.6859,0.68457,0.71409,0.5393,0.89883,1.06472,0.94596,0.000238631,0.000238631,0.000238631
14,1704.95,0.99174,1.30431,1.03667,0.73778,0.71651,0.75916,0.56918,0.91085,0.97329,0.94522,0.000232434,0.000232434,0.000232434
15,1829.52,0.98115,1.25046,1.02826,0.73614,0.70706,0.76156,0.58468,0.85465,0.97227,0.92777,0.000226236,0.000226236,0.000226236
16,1955.02,0.97717,1.23211,1.02785,0.77252,0.71156,0.77382,0.57542,0.94619,0.93441,0.95589,0.000220039,0.000220039,0.000220039
17,2078.08,0.96261,1.18613,1.01956,0.7782,0.75263,0.79963,0.60961,0.87813,0.89401,0.93313,0.000213842,0.000213842,0.000213842
18,2198.6,0.96935,1.15519,1.01885,0.80688,0.7106,0.79791,0.60604,0.88715,0.87957,0.93784,0.000207644,0.000207644,0.000207644
19,2323.11,0.95957,1.13816,1.02134,0.76082,0.75126,0.79948,0.61156,0.8752,0.87574,0.92849,0.000201447,0.000201447,0.000201447
20,2448.06,0.95389,1.10108,1.01269,0.78789,0.73383,0.80605,0.63047,0.82343,0.85777,0.91395,0.000195249,0.000195249,0.000195249
21,2571.28,0.94204,1.0698,1.00773,0.79308,0.75266,0.81976,0.6425,0.81535,0.81939,0.91111,0.000189052,0.000189052,0.000189052
22,2694.05,0.93604,1.01477,0.99935,0.78994,0.76781,0.82536,0.64417,0.8242,0.80792,0.91252,0.000182855,0.000182855,0.000182855
23,2817.61,0.92972,1.03715,1.0008,0.79487,0.77974,0.84404,0.64439,0.86895,0.7944,0.92296,0.000176657,0.000176657,0.000176657
24,2941.76,0.92227,1.00399,0.99556,0.82861,0.7739,0.84689,0.66,0.83501,0.7724,0.91068,0.00017046,0.00017046,0.00017046
25,3066.52,0.92405,0.97682,0.99602,0.80928,0.78901,0.8598,0.65325,0.8891,0.77155,0.93369,0.000164262,0.000164262,0.000164262
26,3189.89,0.91539,0.96978,0.9917,0.84116,0.77672,0.88178,0.68147,0.83196,0.73537,0.91351,0.000158065,0.000158065,0.000158065
27,3312.93,0.90695,0.95339,0.98645,0.84276,0.79591,0.87784,0.68667,0.81793,0.73591,0.90862,0.000151868,0.000151868,0.000151868
28,3435.31,0.90506,0.94017,0.98511,0.86676,0.77731,0.86492,0.67639,0.80297,0.69897,0.90639,0.00014567,0.00014567,0.00014567
29,3556.82,0.89504,0.90467,0.98326,0.88225,0.78133,0.86914,0.67786,0.81279,0.70439,0.90733,0.000139473,0.000139473,0.000139473
30,3678.41,0.89061,0.88667,0.98196,0.86387,0.77976,0.86732,0.68661,0.79165,0.68731,0.90072,0.000133275,0.000133275,0.000133275
31,3799.63,0.88656,0.86009,0.97687,0.86126,0.79297,0.87257,0.68981,0.79592,0.6743,0.90104,0.000127078,0.000127078,0.000127078
32,3921.31,0.87693,0.85792,0.97463,0.86258,0.77774,0.87111,0.68637,0.80361,0.66897,0.89961,0.000120881,0.000120881,0.000120881
33,4042.82,0.88191,0.85894,0.97232,0.88548,0.78279,0.89115,0.70252,0.81088,0.66605,0.90511,0.000114683,0.000114683,0.000114683
34,4163.1,0.87496,0.84242,0.97143,0.88535,0.79394,0.88488,0.70196,0.79103,0.65207,0.89984,0.000108486,0.000108486,0.000108486
35,4284.52,0.87088,0.81383,0.96884,0.85771,0.81097,0.89082,0.70484,0.77734,0.66685,0.89549,0.000102288,0.000102288,0.000102288
36,4405.59,0.87017,0.82149,0.96785,0.87323,0.81798,0.90496,0.70895,0.81387,0.62906,0.90347,9.6091e-05,9.6091e-05,9.6091e-05
37,4525.35,0.86652,0.80768,0.97037,0.8934,0.79643,0.90141,0.72742,0.74146,0.62168,0.88647,8.98936e-05,8.98936e-05,8.98936e-05
